1,110S,1513200652
1,111S,1513200742
1,112S,1513200862
1,113S,1513200952
1,114S,1513201072
1,115S,1513201162
1,116S,1513201252
1,117S,1513201402
1,118S,1513201462
1,119S,1513201522
1,120S,1513201642
1,121S,1513201762
1,122S,1513201822
1,123S,1513201912
1,124S,1513202002
1,125S,1513202092
1,126S,1513202212
1,127S,1513202332
1,128S,1513202422
1,129S,1513202512
1,130S,1513202572
1,131S,1513202632
1,132S,1513202692
1,133S,1513202782
1,134S,1513202872
1,135S,1513202962
1,136S,1513203022
1,137S,1513203112
1,138S,1513203202
1,139S,1513203292
1,142S,1513203442
1,132N,1513200434
1,131N,1513200494
1,130N,1513200554
1,129N,1513200614
1,128N,1513200704
1,127N,1513200794
1,126N,1513200914
1,125N,1513201064
1,124N,1513201154
1,123N,1513201244
1,122N,1513201334
1,121N,1513201424
1,120N,1513201544
1,119N,1513201634
1,118N,1513201724
1,117N,1513201784
1,116N,1513201904
1,115N,1513202024
1,114N,1513202114
1,113N,1513202234
1,112N,1513202324
1,111N,1513202444
1,110N,1513202534
1,109N,1513202624
1,108N,1513202714
1,107N,1513202804
1,106N,1513202894
1,104N,1513202984
1,103N,1513203074
1,101N,1513203164
1,135N,1513200527
1,134N,1513200617
1,133N,1513200737
1,132N,1513200827
1,131N,1513200887
1,130N,1513200947
1,129N,1513201007
1,128N,1513201097
1,127N,1513201187
1,126N,1513201307
1,125N,1513201457
1,124N,1513201547
1,123N,1513201637
1,122N,1513201727
1,121N,1513201817
1,120N,1513201937
1,119N,1513202027
1,118N,1513202117
1,117N,1513202177
1,116N,1513202297
1,115N,1513202417
1,114N,1513202507
1,113N,1513202627
1,112N,1513202717
1,111N,1513202837
1,110N,1513202927
1,109N,1513203017
1,108N,1513203107
1,107N,1513203197
1,106N,1513203287
1,104N,1513203377
1,103N,1513203467
1,101N,1513203587
1,108S,1513200553
1,109S,1513200643
1,110S,1513200733
1,111S,1513200823
1,112S,1513200943
1,113S,1513201033
1,114S,1513201153
1,115S,1513201243
1,116S,1513201333
1,117S,1513201483
1,118S,1513201543
1,119S,1513201603
1,120S,1513201723
1,121S,1513201843
1,122S,1513201903
1,123S,1513201993
1,124S,1513202083
1,125S,1513202173
1,126S,1513202293
1,127S,1513202413
1,128S,1513202503
1,129S,1513202593
1,130S,1513202653
1,131S,1513202713
1,132S,1513202773
1,133S,1513202863
1,134S,1513202953
1,135S,1513203043
1,136S,1513203103
1,137S,1513203193
1,138S,1513203283
1,139S,1513203403
1,142S,1513203523
1,104S,1513200524
1,106S,1513200614
1,107S,1513200704
1,108S,1513200764
1,109S,1513200854
1,110S,1513200944
1,111S,1513201034
1,112S,1513201154
1,113S,1513201244
1,114S,1513201364
1,115S,1513201454
1,116S,1513201544
1,117S,1513201694
1,118S,1513201754
1,119S,1513201814
1,120S,1513201934
1,121S,1513202054
1,122S,1513202114
1,123S,1513202204
1,124S,1513202294
1,125S,1513202384
1,126S,1513202504
1,127S,1513202624
1,128S,1513202714
1,129S,1513202804
1,130S,1513202864
1,131S,1513202924
1,132S,1513202984
1,133S,1513203074
1,134S,1513203164
1,135S,1513203254
1,136S,1513203314
1,137S,1513203404
1,138S,1513203494
1,139S,1513203584
1,142S,1513203734
1,139N,1513200517
1,138N,1513200577
1,137N,1513200637
1,136N,1513200727
1,135N,1513200787
1,134N,1513200877
1,133N,1513200997
1,132N,1513201087
1,131N,1513201147
1,130N,1513201207
1,129N,1513201267
1,128N,1513201357
1,127N,1513201447
1,126N,1513201567
1,125N,1513201717
1,124N,1513201807
1,123N,1513201897
1,122N,1513201987
1,121N,1513202077
1,120N,1513202197
1,119N,1513202287
1,118N,1513202377
1,117N,1513202437
1,116N,1513202557
1,115N,1513202677
1,114N,1513202767
1,113N,1513202887
1,112N,1513202977
1,111N,1513203097
1,110N,1513203187
1,109N,1513203277
1,108N,1513203367
1,107N,1513203457
1,106N,1513203547
1,104N,1513203637
1,103N,1513203727
1,101N,1513203847
